SubjectID TrialNum Amplitude Width StartPos TargetPos Time Success CursorPos
1 1 150 10 (489,338) (446,195) 380 1 (472,214)
1 1 150 10 (489,338) (446,195) 552 1 (461,188)
1 1 150 10 (489,338) (446,195) 579 1 (460,188)
1 1 150 10 (489,338) (446,195) 698 1 (454,195)
1 1 150 10 (489,338) (446,195) 713 1 (454,196)
1 1 150 10 (489,338) (446,195) 721 1 (454,198)
1 1 150 10 (489,338) (446,195) 736 1 (454,198)
1 1 150 10 (489,338) (446,195) 851 1 (453,201)
1 1 150 10 (489,338) (446,195) 1003 1 (453,201)
1 1 150 10 (489,338) (446,195) 1040 1 (453,201)
1 1 150 10 (489,338) (446,195) 1071 1 (453,201)
1 1 150 10 (489,338) (446,195) 1079 1 (453,201)
1 1 150 10 (489,338) (446,195) 1096 1 (453,201)
1 1 150 10 (489,338) (446,195) 1117 1 (453,201)

1 2 150 10 (272,0) (372,111) 5 1 (286,24)
1 2 150 10 (272,0) (372,111) 35 1 (286,24)
1 2 150 10 (272,0) (372,111) 51 1 (286,24)
1 2 150 10 (272,0) (372,111) 88 1 (286,24)
1 2 150 10 (272,0) (372,111) 111 1 (286,24)
1 2 150 10 (272,0) (372,111) 148 1 (286,24)
1 2 150 10 (272,0) (372,111) 221 1 (311,41)
1 2 150 10 (272,0) (372,111) 299 1 (352,89)
1 2 150 10 (272,0) (372,111) 334 1 (360,98)
1 2 150 10 (272,0) (372,111) 521 1 (372,117)
1 2 150 10 (272,0) (372,111) 535 1 (375,118)
1 2 150 10 (272,0) (372,111) 561 1 (377,121)
1 2 150 10 (272,0) (372,111) 563 1 (377,121)
1 2 150 10 (272,0) (372,111) 579 1 (378,122)
1 2 150 10 (272,0) (372,111) 619 1 (378,123)
1 2 150 10 (272,0) (372,111) 627 1 (378,123)
1 2 150 10 (272,0) (372,111) 754 1 (378,123)
1 2 150 10 (272,0) (372,111) 767 1 (378,123)
1 2 150 10 (272,0) (372,111) 814 1 (378,123)
